f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2
Entire loft,Pudong,100,67,5,4,2,2,0,NA,7,NA,1,NA,0,1,1,0,0,0,0,1,0,0,0,1,0,350,51400201,Pudong,Entire loft,5.857933154483459,4,0,0,NA,4489,10000,1.6094379124341003,4
Entire rental unit,Pudong,100,99,0,2,1,1,1,5,9,0.35,1,84,0,1,1,1,1,1,0,1,0,0,0,1,0,329,51411412,Pudong,Entire rental unit,5.796057750765372,1,0,0.6931471805599453,7056,9801,10000,NA,1
Entire loft,Huangpu District,100,100,39,4,1,1,1,5,32,0.27,1,111,0,1,1,1,1,1,0,1,0,0,0,0,0,619,51412238,Huangpu District,Entire loft,6.428105272684596,1,0,0.6931471805599453,12321,10000,10000,3.6635616461296463,1
Entire rental unit,Songjiang District,NA,50,3,2,1,1,0,NA,4,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,480,51413780,Songjiang District,Entire rental unit,6.173786103901937,1,0,0,NA,2500,NA,1.0986122886681098,1
Entire rental unit,Xuhui District,100,100,2,2,1,1,21,5,4,4.53,1.5,138,1,1,1,1,1,1,1,1,0,1,1,0,0,434,51415076,Xuhui District,Entire rental unit,6.073044534100405,1,0.4054651081081644,3.091042453358316,19044,10000,10000,0.6931471805599453,1
Entire loft,Jing'an District,100,100,31,2,1,1,0,NA,39,NA,1,NA,1,1,1,1,1,1,1,1,0,0,1,0,1,184,51415944,Jing'an District,Entire loft,5.214935757608986,1,0,0,NA,10000,10000,3.4339872044851463,1
Entire loft,Jing'an District,100,100,31,2,1,1,1,5,39,0.28,1,108,1,1,1,1,1,1,1,1,0,0,1,0,1,184,51415953,Jing'an District,Entire loft,5.214935757608986,1,0,0.6931471805599453,11664,10000,10000,3.4339872044851463,1
Entire serviced apartment,Baoshan District,100,100,1,2,1,1,0,NA,1,NA,0.5,NA,0,1,1,1,1,1,1,1,0,1,1,0,1,198,51419527,Baoshan District,Entire serviced apartment,5.288267030694535,1,-0.6931471805599453,0,NA,10000,10000,0,1
Entire rental unit,Songjiang District,100,100,9,2,1,1,1,5,16,0.35,1,85,1,1,1,1,1,1,1,1,0,1,0,0,1,68,51436750,Songjiang District,Entire rental unit,4.219507705176107,1,0,0.6931471805599453,7225,10000,10000,2.1972245773362196,1
Entire loft,Huangpu District,100,100,14,4,2,2,6,5,14,1.43,1,125,0,1,1,1,1,0,1,1,0,1,1,0,1,448,51437185,Huangpu District,Entire loft,6.104793232414985,4,0,1.9459101490553132,15625,10000,10000,2.6390573296152584,4
Entire rental unit,Minhang District,100,100,26,2,NA,1,4,5,24,0.94,1,127,1,1,1,1,1,1,0,1,0,0,0,0,0,237,51440172,Minhang District,Entire rental unit,5.4680601411351315,1,0,1.6094379124341003,16129,10000,10000,3.258096538021482,NA
Entire rental unit,Xuhui District,100,99,21,2,1,1,0,NA,23,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,0,234,51444799,Xuhui District,Entire rental unit,5.455321115357702,1,0,0,NA,9801,10000,3.044522437723423,1
Entire rental unit,Jiading District,100,100,1,2,1,1,0,NA,2,NA,0.5,NA,0,1,1,1,1,1,0,1,0,0,0,1,0,277,51455839,Jiading District,Entire rental unit,5.6240175061873385,1,-0.6931471805599453,0,NA,10000,10000,0,1
Entire rental unit,Minhang District,100,100,0,2,1,1,0,NA,4,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,1,0,228,51458325,Minhang District,Entire rental unit,5.429345628954441,1,0,0,NA,10000,10000,NA,1
Entire serviced apartment,Huangpu District,99,100,16,2,NA,1,1,5,17,0.27,1,112,1,1,1,1,1,1,0,1,0,0,0,0,0,508,51458883,Huangpu District,Entire serviced apartment,6.230481447578482,1,0,0.6931471805599453,12544,10000,9801,2.772588722239781,NA
Entire loft,Huangpu District,100,100,9,4,2,2,1,1,11,0.27,1,111,0,1,1,1,1,1,0,1,0,0,0,0,0,600,51459947,Huangpu District,Entire loft,6.396929655216146,4,0,0.6931471805599453,12321,10000,10000,2.1972245773362196,4
Entire rental unit,Huangpu District,100,100,12,3,2,2,3,4.33,12,0.95,1,94,0,1,1,1,1,0,0,1,0,0,0,0,0,403,51461618,Huangpu District,Entire rental unit,5.998936561946683,4,0,1.3862943611198906,8836,10000,10000,2.4849066497880004,4
Entire rental unit,Yangpu District,100,100,0,2,NA,1,0,NA,3,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,380,51461871,Yangpu District,Entire rental unit,5.940171252720432,1,0,0,NA,10000,10000,NA,NA
Entire rental unit,Pudong,100,100,10,2,1,1,2,5,11,0.56,1,106,1,1,1,0,1,1,1,1,0,1,1,0,1,404,51475063,Pudong,Entire rental unit,6.0014148779611505,1,0,1.0986122886681098,11236,10000,10000,2.302585092994046,1
Entire rental unit,Pudong,100,99,33,2,1,1,0,NA,34,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,1,0,283,51476107,Pudong,Entire rental unit,5.645446897643238,1,0,0,NA,9801,10000,3.4965075614664802,1
Entire rental unit,Pudong,100,99,33,2,1,1,2,4.5,34,0.43,1,138,1,1,1,1,1,1,0,1,0,0,0,0,0,283,51476118,Pudong,Entire rental unit,5.645446897643238,1,0,1.0986122886681098,19044,9801,10000,3.4965075614664802,1
Entire rental unit,Pudong,100,99,33,2,1,1,3,5,34,0.63,1,141,1,1,1,1,1,1,0,1,0,0,0,0,0,284,51476122,Pudong,Entire rental unit,5.648974238161206,1,0,1.3862943611198906,19881,9801,10000,3.4965075614664802,1
