f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire loft,Huangpu District,100,100,10,4,2,2,264,4.84,8,5.26,1,1505,1,1,1,1,1,1,0,1,0,0,0,0,1,617,21350495,Huangpu District,Entire loft
Entire rental unit,Putuo District,90,NA,2,2,1,1,18,4.65,2,0.36,1,1520,0,1,1,0,1,1,1,1,1,0,1,0,1,208,21364097,Putuo District,Entire rental unit
Entire rental unit,Jing'an District,NA,NA,2,3,1,2,0,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,489,21404677,Jing'an District,Entire rental unit
Entire rental unit,Huangpu District,100,98,16,5,2,4,146,4.87,12,2.87,1,1524,0,1,1,1,1,1,1,1,1,1,1,0,1,1111,21427777,Huangpu District,Entire rental unit
Entire rental unit,Xuhui District,100,100,23,4,1,2,49,4.82,23,1.4,1.5,1049,0,1,1,1,1,1,1,1,0,1,0,0,0,216,21433333,Xuhui District,Entire rental unit
Entire rental unit,Huangpu District,100,100,23,2,1,1,13,4.92,23,0.26,1,1517,0,1,1,1,1,1,1,1,0,1,0,0,1,190,21433816,Huangpu District,Entire rental unit
Entire loft,Pudong,100,100,8,4,2,4,146,4.99,7,2.88,2,1519,1,1,1,1,1,1,1,1,0,0,1,1,1,449,21444055,Pudong,Entire loft
Entire rental unit,Yangpu District,98,99,11,3,1,2,60,4.82,7,1.18,1,1521,1,1,1,1,1,1,0,1,0,0,0,0,0,343,21450474,Yangpu District,Entire rental unit
Entire rental unit,Songjiang District,90,100,31,6,2,4,13,4.69,31,0.43,1,897,0,1,1,1,1,1,0,1,0,0,0,1,1,335,21456161,Songjiang District,Entire rental unit
Entire rental unit,Jing'an District,100,100,3,4,2,2,36,5,3,0.74,1.5,1460,1,1,1,1,1,1,0,1,0,0,0,0,1,1058,21476988,Jing'an District,Entire rental unit
Entire rental unit,Hongkou District,NA,78,1,6,3,3,10,4.89,1,0.21,3,1453,1,1,1,0,1,1,0,1,1,0,1,0,1,1300,21504662,Hongkou District,Entire rental unit
Entire rental unit,Pudong,NA,67,14,3,1,2,11,4.82,1,0.23,1,1405,0,1,1,0,1,1,0,1,0,0,0,0,1,520,21505921,Pudong,Entire rental unit
Entire rental unit,Changning District,100,99,8,3,1,2,59,4.73,4,1.18,1,1499,0,1,1,0,1,1,1,1,0,0,1,0,1,366,21559187,Changning District,Entire rental unit
Entire rental unit,Jing'an District,NA,NA,5,2,1,1,1,3,4,0.04,1,832,0,1,1,1,1,1,0,1,0,0,0,1,0,1000,21576218,Jing'an District,Entire rental unit
Entire serviced apartment,Jing'an District,100,100,15,2,1,1,3,5,20,0.08,1,1153,1,1,1,1,1,1,1,1,0,1,1,0,1,600,21577060,Jing'an District,Entire serviced apartment
Entire rental unit,Fengxian District,100,86,5,2,1,1,1,4,5,0.02,1,1489,1,1,1,0,1,1,0,1,0,0,0,1,0,207,21583740,Fengxian District,Entire rental unit
Entire rental unit,Fengxian District,100,86,5,4,1,2,0,NA,5,NA,1,NA,1,1,1,0,1,1,0,1,0,0,0,1,0,267,21584499,Fengxian District,Entire rental unit
Entire rental unit,Fengxian District,100,86,5,4,2,2,4,4.5,5,0.09,1,1398,1,1,1,0,1,1,0,1,0,0,0,1,0,298,21597835,Fengxian District,Entire rental unit
Entire serviced apartment,Xuhui District,100,98,23,2,1,1,69,4.83,23,1.61,1,1284,1,1,1,1,1,1,1,1,0,1,1,0,1,787,21613627,Xuhui District,Entire serviced apartment
Entire loft,Songjiang District,0,0,1,2,1,1,12,4.92,1,0.26,2,1366,0,1,1,0,1,1,1,1,0,1,0,0,1,380,21626733,Songjiang District,Entire loft
Entire rental unit,Qingpu District,100,50,6,5,3,3,3,4.5,3,0.06,1,1454,0,1,1,0,1,1,0,1,0,0,0,1,0,1588,21637672,Qingpu District,Entire rental unit
Entire rental unit,Huangpu District,100,100,12,2,1,1,24,4.75,10,0.48,1,1509,0,1,1,1,1,1,1,1,0,0,1,0,1,379,21639873,Huangpu District,Entire rental unit
Entire rental unit,Jiading District,NA,100,1,4,2,2,16,5,1,0.36,1,1349,0,1,1,0,1,1,1,1,0,1,1,1,1,320,21649157,Jiading District,Entire rental unit
Entire loft,Hongkou District,100,100,8,4,1,2,149,4.67,8,2.99,1,1493,0,1,1,1,1,1,1,1,0,1,0,0,1,429,21650882,Hongkou District,Entire loft
Entire serviced apartment,Songjiang District,100,99,9,2,1,1,83,4.85,8,1.66,1,1503,1,1,1,1,1,1,0,1,0,0,0,0,1,333,21673521,Songjiang District,Entire serviced apartment
Entire rental unit,Xuhui District,100,80,1,2,1,1,71,4.94,1,1.46,1,1461,1,1,1,0,1,1,0,1,0,0,0,0,0,491,21690483,Xuhui District,Entire rental unit
Entire rental unit,Putuo District,100,100,4,3,1,1,61,4.98,1,1.25,1,1466,1,1,1,1,1,1,1,1,0,1,1,1,1,1502,21710443,Putuo District,Entire rental unit
Entire loft,Qingpu District,100,100,9,2,1,1,1,5,12,0.02,1,1333,0,1,1,1,1,1,1,1,0,0,0,0,1,586,21716153,Qingpu District,Entire loft
Entire loft,Huangpu District,100,96,4,2,1,1,3,5,3,0.08,1,1174,0,1,1,0,1,1,1,1,0,0,1,0,1,488,21722515,Huangpu District,Entire loft
Entire rental unit,Huangpu District,100,100,23,2,1,1,37,4.57,23,0.8,1.5,1388,0,1,1,1,1,1,0,1,0,0,0,0,1,163,21724044,Huangpu District,Entire rental unit
Entire rental unit,Changning District,NA,NA,2,2,1,2,1,5,1,0.02,1,1453,0,1,1,1,1,1,0,1,0,0,0,0,0,355,21744623,Changning District,Entire rental unit
Entire rental unit,Pudong,100,100,1,2,1,1,156,4.86,1,3.18,1,1473,1,1,1,1,1,1,0,1,0,0,0,0,1,403,21760049,Pudong,Entire rental unit
Entire loft,Xuhui District,100,100,9,4,1,2,92,4.54,9,1.84,1,1497,0,1,1,1,1,1,0,1,0,0,1,0,0,313,21763983,Xuhui District,Entire loft
